	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000010	g12702, g10788, g18775, g18778, g10784, g18779, g10786, g21688	g9310, g10784, g10787, g21688, g18775, g12702, g18779	g10784, g18779, g10786, g21416, g12702, g21688		mf_9406, mf_5061, mf_13004, mf_877, mf_7573, mf_11387, mf_14893, mf_1978, mf_6072					g11848, g11850, g4380, g15132, g15131, g15128	g15132, g15128, g15131, g11850, g11848, g4380						g11850, g4380, g11848, g15132, g15131, g15128	g11850, g15132, g15128, g15131, g11848, g4380	g11848, g11850, g4380, g15131, g15132, g15128
OG0000011	g17339, g4190, g213, g4516	g17339, g4516	g4516, g17339	g25028, g5079, g25234, g9715, g1135, g10256, g19453, g1132, g25186, g13969	mf_1166, mf_13847	11738.g4864, 2102.g4859, 2101.g4864, 11739.g4859, 11459.g4864, 13865.g4864, 13866.g4859	g4859, g4864	g4859, g4864	g4859, g4864	g10291, g16807, g9786	g10291, g9786, g16807	g4859, g4864	g4864, g4859	g4859, g4864	g4864, g4859	g4859, g4864	g9786, g10291, g16807	g9786, g21449, g10291, g16807	g16807, g10291, g9786
OG0000012	g8420, g5874, g64, g9803, g26514, g12921	g64, g9803, g12921, g26514	g12921, g26514, g64	g28911	mf_5053, mf_14005, mf_2391, mf_4689, mf_63, mf_10873, mf_13663, mf_8767, mf_12661	10955.g16518, 14427.g16518, 14426.g22081, 16402.g22081, 1202.g16518, 1201.g22081, 16756.g22081, 16757.g16518, 6136.g16518	g22081, g16518	g22081, g16518	g22081, g16518	g16348, g6733	g6733, g16348	g16518, g22081	g16518, g22081	g16518, g22081	g16518, g22081	g22081, g16518	g6733, g16348	g6733, g16348	g16348, g6733
OG0000013	g17115, g21391, g2548	g21391	g2548, g21391	g18593, g18483, g10549, g26151, g5439, g20775		10938.g2911, 10937.g18297	g2911, g823, g18297	g823, g18297, g2911	g18297, g2911, g823	g9704, g14385, g4220, g14962	g9704, g4220, g14385, g14962	g823, g18297, g2911	g2911, g18297, g823	g18297, g2911, g823	g823, g2911, g18297	g18297, g2911, g823	g4220, g14385, g9704, g14962	g14962, g9704, g14385, g4220	g14385, g9704, g14962, g4220
OG0000014	g16766, g360, g6651	g360, g16766, g6651	g6651, g16766, g360	g16633	mf_12294		g6732, g13548, g6729	g13548, g6732, g6729	g13548, g6729, g6732	g15561, g16258, g1824, g5998	g5998, g1824, g15561, g16258	g6732, g6729, g13548	g13548, g6732, g6729	g6732, g13548, g6729	g6732, g13548, g6729	g6729, g6732, g13548	g16258, g5998, g1824, g15561	g5998, g15561, g16258, g1824	g16258, g5998, g15561, g1824
OG0000015	g5977, g26055, g26706, g13650	g26706, g13650, g26055	g26706, g26055, g13650			5124.g24159, 2342.g22299	g22299, g10169, g24159	g22299, g24159, g10169	g24159, g22299, g10169	g8325, g12980, g16828, g1193	g16828, g8325, g12980, g1193	g24159, g22299, g10169	g10169, g24159	g10169, g22299, g24159	g22299, g24159, g10169	g22299, g10169, g24159	g12980, g8325, g1193, g16828	g16828, g1193, g12980, g8325	g8325, g16828, g1193, g12980
OG0000016					mf_2927, mf_8646, mf_5807, mf_7473, mf_7724, mf_838, mf_12051, mf_1938, mf_7213, mf_4090, mf_2942, mf_9573, mf_13411, mf_14050, mf_10812, mf_9746, mf_7373, mf_13764, mf_1195, mf_687, mf_3692, mf_9842	10089.g1307, 10090.g7420, 10091.g4563, 15149.g7420	g7420, g1307, g4563	g4563, g1307, g7420	g1307, g7420, g4563	g15294	g15294	g1307, g7420, g4563	g7420, g1307, g4563	g1307, g4563, g7420	g1307, g7420, g4563	g4563, g1307, g7420	g15294	g15294	g15294
OG0000017	g1436, g26134, g18001, g25730, g12496	g12496, g1436	g1436, g26134, g12496	g12449	mf_14810, mf_11259	6671.g947, 6669.g14110, 6668.g13798, 9949.g14110, 6670.g7857	g7857, g13798, g947	g947, g7857, g13798	g13798, g7857, g947, g14110	g6357	g6357	g947, g7857, g13798	g947, g7857, g14110	g7857, g947, g13798	g7857, g13798, g947, g14110	g13798, g7857, g947, g14110	g8040, g6357	g8040, g6357	g6357, g8040
OG0000018	g11730, g7611	g7611	g11730, g7611	g17219		14665.g11426, 14664.g15965	g11426, g15965, g8266	g11426, g8266, g15965	g11426, g15965, g8266	g15996, g3341, g4115, g10370	g3341, g15996, g10370, g4115	g11426, g15965, g8266	g8266, g15965	g8266, g15965	g11426, g8266, g15965	g15965, g8266, g11426	g15996, g4115, g3341, g10370	g3341, g15996, g10370, g6874, g21901, g4115	g4115, g6874, g15996, g3341, g10370
OG0000019	g25358, g7719, g10294, g2762	g7719, g2762, g10294	g10294, g7719, g2762	g7367, g1174, g20750, g6187, g7337	mf_10406	13877.g18626, 13879.g16103	g18626	g18626	g18626	g3330, g14203, g520, g1270, g1268	g3330, g1268, g14203, g520, g1270	g18626	g18626	g18626	g18626	g18626	g3330, g520, g1268, g1270, g14203	g3330, g520, g1270, g14203, g1268	g1270, g520, g1268, g3330, g14203
OG0000020	g27157, g2150	g2150, g27157	g2150, g27157	g29762, g12897	mf_9423	3944.g239, 3945.g7793, 3943.g7958, 837.g239, 838.g7793, 836.g7958	g7793, g7958, g239	g239, g7958, g7793	g7958, g239, g7793	g8522, g8523	g8523, g8522	g7793, g7958, g239	g7793, g239, g7958	g239, g7793, g7958	g7958, g7793, g239	g7793, g239, g7958	g8523, g8522	g8522, g8523, g21446	g8522, g8523
OG0000021	g7387, g25369	g25369, g7387	g25369, g7387	g25052, g1614	mf_10118		g4320, g11709	g11709, g4320	g11709, g4320	g4287, g9655, g19064, g13367, g16448	g9655, g16448, g13367, g19064, g4287	g11709, g4320	g11709, g4320	g11709, g4320	g11709, g4320	g11709, g4320	g19064, g13367, g4287, g16448, g9655	g19064, g4287, g13367, g9655, g16448	g13367, g19064, g4287, g9655, g16448
OG0000022	g27405, g12174, g11464, g18549, g8491	g27405, g11464, g18549	g18549	g12298, g7863, g18243, g26279	mf_14042	13057.g9314, 13056.g7994, 13055.g11120, 13054.g15227, 8549.g11120	g7994, g11120, g15227	g11120, g15227	g15227, g11120	g1836, g17338	g17338, g5332, g1836	g11120, g15227	g15227, g11120	g11120, g15227	g11120, g15227	g11120, g15227	g17338, g5332, g1836	g17338, g1836, g5332	g1836, g5332, g17338
OG0000023	g24659, g10608, g10607, g18290	g10607, g10608	g10607	g11321, g11322, g15409, g15410	mf_14259	1449.g15163, 1450.g22054	g15163, g22054, g22053	g15163, g22054, g22053	g22054, g15163, g22053	g9643, g13728	g9643, g13728	g15163, g22054, g22053	g15163, g22053, g22054	g22053, g22054, g15163	g15163, g22053, g22054	g22054, g22053, g15163	g9643, g13728	g13728, g9643, g13727, g21328	g9643, g13728
OG0000024	g13264, g15189, g4102	g15189, g4102, g13264	g13264, g15189	g26421, g19436	mf_8425	14148.g19476, 14147.g15887, 14143.g5492	g19476, g5492, g15887	g19476, g15887, g5492	g15887, g19476, g5492	g18208, g15360	g18208, g15360	g5492, g19476, g15887	g5492, g19476, g15887	g19476, g5492, g15887	g19476, g5492, g15887	g15887, g5492, g19476	g15360, g18208	g18208, g15360, g21818	g18208, g15360
OG0000025	g13197, g8130, g8128, g8989	g8130, g8989, g13197, g8128	g13197, g8130, g8128, g8989	g7790, g7792, g7598	mf_4876	8342.g21930, 8343.g22347	g21930, g22347	g21930, g22347	g22347, g21930	g15377, g2242, g2250	g2250, g2242, g15377	g21930, g22347	g21930, g22347	g22347, g21930	g22347, g21930	g22347, g21930	g2250, g2242, g15377	g2250, g2242, g15377	g2242, g15377, g2250
OG0000026	g10515, g10513	g12557, g10515, g10513	g10513, g10515	g20744, g175, g30830	mf_845	258.g9616	g9616, g12567	g12567, g9616	g9616, g12567	g13813, g14469, g14148, g11991	g11991, g13813, g14148, g14469	g9616, g12567	g12567, g9616	g9616, g12567	g12567, g9616	g12446, g12567, g9616	g14148, g11991, g13813, g14469	g14148, g13813, g11991, g14469	g13813, g14469, g11991, g14148
OG0000027	g15458, g14051	g14051	g14051, g15458	g29743, g18958, g1001, g23498, g25913	mf_8564, mf_14775	6720.g16346, 6718.g16345, 6719.g16345	g16367, g16345, g16346	g16345, g16367, g16346	g16367, g16345, g16346	g11013, g7826	g11013, g7826	g16345, g16367, g16346	g16367, g16346, g16345	g16345, g16346, g16367	g16345, g16367, g16346	g16367, g16345, g16346	g11013, g7826	g7826, g11013	g7826, g11013
OG0000028	g18409, g24933, g5564	g5564, g24933	g5564, g24933	g28123, g1220	mf_11154	71.g1062, 70.g22890, 69.g7910	g22890, g1062, g7910	g1062, g7910, g22890	g22890, g1062, g7910	g13846, g3457	g13846, g3457	g1062, g7910, g22890	g1062, g22890, g7910	g1062, g7910, g22890	g22890, g1062, g7910	g1062, g22890, g7910	g13846, g3457	g13846, g22845, g3457	g13846, g3457
OG0000029	g21555, g6889, g25176	g6889, g25176, g21555	g25176, g21555, g6889	g3257, g10035	mf_576, mf_7538	10135.g19302	g16739, g19302, g4383	g4383, g16739, g19302	g16739, g19302, g4383	g6934, g15782	g15782, g6934	g16739, g4383, g19302	g19302, g16739, g4383	g4383, g16739, g19302	g4383, g16739, g19302	g4383, g16739, g19302	g15782, g6934	g15782, g6934	g6934, g15782
OG0000030	g27992, g16517, g22020	g27992, g22020	g22020, g27992	g9048, g26588	mf_12737, mf_13616	4733.g15805, 13399.g3907, 8330.g2581, 7315.g15805, 4731.g2581, 4732.g3907, 13773.g3907	g3907, g15805, g2581	g3907, g2581, g15805	g15805, g3907, g2581	g12599	g12599	g15805, g3907, g2581	g3907, g15805, g2581	g15805, g2581, g3907	g15805, g2581, g3907	g2581, g15805, g3907	g12599	g22132, g12599	g12599
OG0000031	g112, g1411, g24568	g112, g24568, g1411	g112, g24568, g1411	g20838, g13331	mf_5088	15986.g6149	g6149, g12778, g6142	g12778, g6149, g6142	g6149, g12778, g6142	g15303, g7042	g15303, g7042	g6149, g6142, g12778	g6149, g6142, g12778	g12778, g6142, g6149	g6149, g6142, g12778	g6142, g12778, g6149	g7042, g15303	g15303, g7042	g7042, g15303
OG0000032	g11437, g442	g11437, g442	g11437, g442	g21550, g17060	mf_15118, mf_2167	7357.g9619, 7356.g10639, 7355.g16564	g16564, g9619, g10639	g9619, g10639, g16564	g10639, g16564, g9619	g1847, g9662	g9662, g1847	g10639, g16564, g9619	g10639, g16564, g9619	g10639, g16564, g9619	g9619, g10639, g16564	g16564, g10639, g9619	g9662, g1847	g1847, g9662	g9662, g1847
OG0000033	g17866, g3403, g2250, g16799	g16799, g17866, g2250, g3403	g3403, g16799, g17866, g2250	g417	mf_1057	5078.g11979	g11596, g5599, g11979	g11596, g5599, g11979	g11596, g5599, g11979	g14580	g14580	g5599, g11596, g11979	g5599, g11596, g11979	g5599, g11596, g11979	g11979, g11596, g5599	g11596, g5599, g11979	g14580	g23108, g22030, g14580, g24340	g14580
OG0000034	g15737, g12791, g12798, g7675	g7675, g12798, g15737	g15737, g12791, g7675, g12798	g1466, g22090	mf_10215, mf_9041	2175.g1465	g18200, g1465	g18200, g1465	g1465, g18200	g9484, g1780, g1786	g9484, g1786, g1780	g18200, g1465	g1465, g18200	g18200, g1465	g1465, g18200	g18200, g1465	g9484, g1786, g1780	g1780, g1786, g9484	g1780, g1786, g9484
OG0000035	g21615, g14050, g12673	g14050, g12673, g21615	g21615, g12673	g24701, g25912, g16973, g7016		4344.g16344, 4345.g11718, 4346.g14762	g14762, g11718, g16344	g11718, g16344, g14762	g16344, g14762, g11718	g16678	g16678	g16344, g11718, g14762	g16344, g14762, g11718	g14762, g16344, g11718	g16344, g14762, g11718	g16344, g14762, g11718	g16678	g21655, g23416, g16678, g23836	g16678
OG0000036	g12746	g12746	g12746	g12658, g26888	mf_14990, mf_688	2802.g14104	g195, g18491, g14104	g18491, g195, g14104	g14104, g18491, g195	g18598, g11929, g983	g18598, g983, g11929	g18491, g14104, g195	g195, g18491, g14104	g18491, g14104, g195	g14104, g18491, g195	g14104, g195, g18491	g18598, g983, g11929	g18598, g11929, g983	g11929, g18598, g983
OG0000037	g4498	g4498	g4498	g30338	mf_5667, mf_14064	16900.g3724, 16899.g1169, 16898.g10438, 8418.g1169, 8417.g10438, 8419.g3724	g3724, g1169, g10438	g1169, g10438, g3724	g1169, g10438, g3724	g20221, g1795	g1795, g20221	g1169, g3724, g10438	g10438, g3724, g1169	g1169, g3724, g10438	g1169, g10438, g3724	g1169, g3724, g10438	g20221, g1795	g20221, g1795	g1795, g20221
OG0000038	g4668, g28574	g28574, g4668	g28574, g4668	g21991	mf_11887, mf_4955	12081.g16667, 12082.g15190, 12085.g14584	g15190, g14584, g16667	g15190, g14584, g16667	g16667, g14584, g15190	g3672, g564	g3672, g564	g14584, g16667, g15190	g15190, g14584, g16667	g16667, g14584, g15190	g16667, g15190, g14584	g15190, g14584, g16667	g564, g3672	g3672, g564	g3672, g564
OG0000039	g28284, g14592, g6486, g18107	g18107, g28284, g6486, g14592	g28284, g14592, g6486, g18107	g13392, g18514	mf_3554		g10085, g746	g746, g10085	g10085, g746	g8495, g14349, g5674	g5674, g14349, g8495	g746, g10085	g10085, g746	g10085, g746	g10085, g746	g10085, g746	g5674, g8495, g14349	g14349, g8495, g5674	g8495, g5674, g14349
OG0000040	g7211, g29255, g26711	g26711, g29255, g7211	g7211, g26711, g29255	g18062, g10813	mf_12684, mf_4703	4266.g6112, 2682.g6112	g8539, g6112	g6112, g8539	g8539, g6112	g8976, g16138, g6290	g6290, g16138, g8976	g8539, g6112	g6112, g8539	g6112, g8539	g6112, g8539	g8539, g6112	g8976, g6290, g16138	g6290, g16138, g8976	g16138, g6290, g8976
OG0000041	g23950, g7448, g10813	g23950, g7448	g7448, g23950	g7937, g22729, g10572, g3946, g13309	mf_8197, mf_6597, mf_11913, mf_9859					g9991, g161, g5742, g5739, g7438, g2193	g161, g7438, g5742, g5739, g2193, g9991						g5739, g161, g5742, g2193, g9991, g7438	g161, g2193, g5742, g9991, g5739, g7438	g7438, g161, g5742, g9991, g2193, g5739
OG0000042	g24036	g24036		g6921, g4247	mf_6313	11913.g6914	g5373, g5374, g6914	g5374, g5373, g6914	g5373, g5374, g6914	g11992, g13183, g12783	g11992, g12783, g13183	g5374, g5373, g6914	g6914, g5374, g5373	g6914, g5374, g5373	g5374, g5373, g6914	g6914, g5374, g5373	g13183, g11992, g12783	g13183, g11992, g12783, g1432	g11992, g12783, g13183
OG0000043	g25197	g25197	g25197		mf_9459	1361.g6868, 1365.g14985, 1364.g5110, 16723.g6445, 16722.g14985, 1372.g11341, 16721.g5110, 1367.g16835, 1366.g6268, 1373.g21621, 1374.g13301, 1375.g8912, 16732.g13301, 16733.g8912, 1370.g6868, 1371.g19514, 1368.g6445, 1369.g18436, 16726.g6268, 16727.g16835, 16724.g18436, 16725.g2580, 16730.g11341, 16731.g21621, 16728.g6868, 16729.g19514	g19514, g6868	g6868, g19514	g6868, g19514			g19514, g6868	g19514, g6868	g6868, g19514	g6868, g19514	g19514, g6868			
OG0000044	g26978, g7855, g286	g7855, g286	g286, g7855	g20579, g13403	mf_6739, mf_8598, mf_8009	13907.g13161, 13908.g22711	g22711, g13161	g13161, g22711	g13161, g22711	g17836, g18869, g8047	g8047, g17836, g18869	g13161, g22711	g13161, g22711	g22711, g13161	g22711, g13161	g13161, g22711	g8047, g17836, g18869	g8047, g17836, g18869	g18869, g17836, g8047
OG0000045	g6558, g757, g4371	g757, g6558, g4371	g4371, g6558, g757	g22421, g3897	mf_213	10171.g3923, 10170.g17265	g17265, g3923	g3923, g17265	g3923, g17265	g18770, g17831, g13257	g13257, g18770, g17831	g17265, g3923	g3923, g17265	g17265, g3923	g17265, g3923	g17265, g3923	g17831, g18770, g13257	g13257, g18770, g17831	g17831, g18770, g13257
OG0000046	g13952, g2523, g28219	g2523, g28219, g13952	g28219, g2523, g13952	g5311	mf_3401	6387.g3279, 6389.g10420, 6388.g3273	g10420, g3279, g3273	g3279, g3273	g3279, g3273, g10420	g10862, g13858	g10862, g13858	g3279, g10420	g10420, g3279, g3273	g3279, g10420	g3279, g10420, g3273	g3273, g10420, g3279	g10862, g13858	g13858, g10862	g10862, g13858
OG0000047	g24970, g3028, g3032	g24970, g3028, g3032	g3028, g3032, g24970	g30380, g24870, g19412	mf_7228	16434.g10768	g17622, g10768	g17622, g10768	g17622, g10768	g14040, g7357, g9246	g7357, g9246, g14040	g10768, g17622	g17622, g10768	g10768, g17622	g10768, g17622	g10768, g17622	g14040, g9246, g7357	g14040, g7357, g9246	g14040, g7357, g9246
OG0000048	g4304, g12710, g21109	g21109, g4304	g4304, g12710, g21109	g17495, g19770	mf_6215, mf_2787, mf_8097	2646.g9519, 2645.g9506	g9519, g9506	g9506, g9519	g9506, g9519	g6807, g11580, g8134	g11580, g8134, g6807	g9506, g9519	g9506	g9519, g9506	g9506, g9519	g9519, g9506	g8134, g11580, g6807	g8134, g6807, g11580	g6807, g8134, g11580
OG0000049	g5431, g24663, g6361	g5431, g24663, g6361	g6361, g5431, g24663	g21582, g21581, g19484, g5695		11232.g14491, 11233.g7131, 11234.g8489	g8489, g7131, g14491	g14491, g7131, g8489	g8489, g14491, g7131	g323	g323	g14491, g7131, g8489	g7131, g8489	g8489, g14491, g7131	g14491, g7131, g8489	g8489, g7131, g14491	g323	g323, g20579	g323
OG0000050	g9034, g5739, g20095	g9034, g5739, g20095	g20095, g5739, g9034	g30116, g20824	mf_4495		g6881, g4071	g4071, g15810, g6881	g15810, g6881, g4071	g5602, g3353	g3353, g5602	g6881, g4071, g15810	g15810, g6881, g4071	g4071, g15810, g6881	g6881, g4071, g15810	g6881, g4071, g15810	g3353, g5602	g3353, g5602	g5602, g3353
