	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000010	g20396, g3035, g1467, g7291, g25050, g8621, g12988, g17459, g22883, g24107, g2612, g9534	g8621, g9534, g1467, g7291, g20396, g2612, g3035, g15450, g17459, g22883, g12988, g24107	g9534, g12988, g7291, g22883, g1467, g20396, g24107, g8621, g2612, g3035, g17459	g24482, g787, g12727, g11891, g16625, g23923, g29142, g2533	mf_12334, mf_13237, mf_14532, mf_1622, mf_13682, mf_5801, mf_13358, mf_5736, mf_399, mf_2076, mf_5040, mf_7173, mf_7639					g11065, g5701, g8572, g19611, g2906, g17667, g16471, g19727, g4342, g4343, g14254	g17667, g11065, g19727, g4342, g4343, g16471, g5701, g19611, g8572, g14254, g2906						g4342, g5701, g11065, g8572, g2906, g16471, g19727, g4343, g14254, g19611, g17667	g4342, g19611, g17667, g14254, g4343, g16471, g21271, g11065, g19727, g21935, g8572, g5701, g21455, g21934, g2906	g5701, g14254, g17667, g4342, g4343, g19727, g8572, g11065, g2906, g19611, g16471
OG0000011	g4927, g7397, g7399, g1847, g6530, g7995, g5414	g7399, g7397, g7995, g6530, g5414, g1847	g6530, g7995, g5414, g7397, g4927, g7399	g30697	mf_3072, mf_3018, mf_8093, mf_2309, mf_5887, mf_11291, mf_6589, mf_13933, mf_5244, mf_7868, mf_12010, mf_4461, mf_3545, mf_9896, mf_10288, mf_1939, mf_3052, mf_912, mf_2977, mf_5032, mf_2126, mf_9698, mf_13273	10085.g8575, 12200.g8575, 15156.g7419, 15155.g1308	g1309, g1308, g18618, g7419, g8575	g1309, g1308, g18618, g8575, g7419	g7419, g18618, g8575, g1309, g1308	g10334, g945, g9235, g17378, g2811	g9235, g2811, g945, g17378, g10334	g18618, g1308, g7419, g1309, g8575	g8575, g7419, g1308, g1309, g18618	g1309, g18618, g8575, g7419, g1308	g1309, g8575, g1308, g7419, g18618	g7419, g1308, g18618, g1309, g8575	g2811, g17378, g9235, g945, g10334	g20873, g945, g15293, g21279, g10334, g2811, g9235, g17378	g945, g2811, g9235, g10334, g17378
OG0000012	g8095, g18292, g16211, g24869, g27156, g3735, g2149, g2151, g20145	g24869, g20145, g18292, g2151, g8095, g2149, g27156, g16211, g3735	g18292, g3735, g2151, g2149, g27156, g16211, g20145, g24869, g8095	g25923, g26400, g9701, g9702, g21410, g18421, g12898, g9691, g9699, g17542, g17080, g18420, g25160, g11793, g3196, g12896, g16533	mf_9660, mf_10907, mf_7643, mf_5263	14351.g7790, 833.g7790, 14347.g7791, 14352.g7792, 9335.g7790, 6345.g7790	g7790, g7792, g7791, g11985	g11985, g7791, g7790, g7792	g7791, g7790, g7792, g11985	g6853, g6852, g8521, g8524, g19121	g8521, g8524, g6853, g6852, g19121	g7790, g7792, g7791, g11985	g7791, g7792, g7790	g7792, g7790, g7791, g11985	g7791, g11985, g7792, g7790	g7790, g11985, g7792, g7791	g19121, g8521, g8524, g6853, g6852	g22096, g6853, g21445, g8524, g8521, g6852, g21444, g19121	g8524, g8521, g19121, g6853, g6852
OG0000013				g8752, g6620, g13373	mf_5674, mf_4802, mf_4605	1414.g18537, 1415.g11677, 1412.g11882, 1413.g4858, 2103.g11882, 5695.g812, 5692.g11882, 5693.g4858, 7554.g890, 3363.g890, 14943.g890, 5694.g18537, 2105.g4858, 2104.g18537	g812, g890, g18537, g4858, g11371, g11677	g812, g11371, g4858, g890, g18537, g11677	g890, g4858, g11677, g18537, g11371, g812	g16022, g15675, g5438, g12106, g16581, g12182, g12804	g12106, g5438, g12804, g12182, g16022, g15675, g16581	g18537, g812, g11371, g4858, g890, g11677	g11677, g812, g4858, g11371, g890, g18537	g4858, g812, g11677, g11371, g18537, g890	g812, g11371, g890, g11677, g18537, g4858	g890, g18537, g812, g4858, g11371, g11677	g16022, g15675, g12182, g12804, g16581, g12106, g5438	g12804, g15675, g16581, g5438, g12106, g16022, g12182	g12804, g12106, g16022, g5438, g16581, g12182, g15675
OG0000014	g20992, g15768, g27130, g8861, g23285, g1183, g12519, g12518, g5626, g6160	g20992, g27130, g1183, g23285, g5626, g6160	g5626, g27130, g1183, g20992, g12519, g6160	g2598, g18222, g24926, g699, g18360	mf_8984, mf_1789, mf_6592	1409.g820, 7103.g13869, 2316.g14201, 7099.g17564, 503.g13869, 14498.g13820, 2320.g13869, 2315.g17564, 7101.g820, 7100.g819, 7098.g13820, 2318.g820, 2317.g819, 2314.g13820	g13820, g17564, g14201, g820, g819	g14201, g819, g820, g17564, g13820	g17564, g819, g820, g14201, g13820	g17970, g17971, g12954	g17970, g17971, g12954	g820, g819, g17564, g14201, g13820	g14201, g17564, g819, g820, g13820	g819, g17564, g14201, g820, g13820	g14201, g13820, g17564, g820, g819	g14201, g17564, g819, g13820, g820	g17970, g12954, g17971	g17971, g17970, g20351, g12954, g22589	g12954, g17970, g17971
OG0000015	g15097, g22561, g25088, g11803, g26688	g22561, g11803, g26688, g25088, g18340	g25088, g11803, g15097, g22561, g26688	g12628, g3597, g11449, g24180, g25035, g15538, g23320, g14991, g28463, g25682, g19971, g8913, g21382, g21381, g23120, g23319, g17730	mf_12028, mf_12897	10342.g12695	g16842, g12695, g7992, g5186, g11117	g5186, g16842, g11117, g7992, g12695	g5186, g11117, g7992, g12695, g16842	g6260, g12118, g8414, g14574	g14574, g8414, g15893, g6260, g12118	g11117, g7992, g16842, g12695, g5186	g12695, g16842, g7992, g5186, g11117	g11117, g5186, g16842, g7992, g12695	g5186, g11117, g16842, g7992, g12695	g16842, g11117, g5186, g7992, g12695	g6260, g8414, g12118, g14574, g15893	g15893, g6260, g14574, g12118, g8414	g12118, g15893, g8414, g6260, g14574
OG0000016	g22770, g7134, g10748, g19000, g7971	g7134, g7971, g22770, g19000, g10748	g7971, g22770, g10748, g19000, g7134	g11876, g22130, g8023	mf_10840, mf_8615, mf_11107, mf_9224, mf_1928	8347.g2357, 12056.g14144, 12057.g19919	g2356, g12920, g19919, g9937, g14144, g2357	g2356, g12920, g2357, g19919, g9937	g2357, g2356, g9937, g12920, g14144, g19919	g14044, g4100, g9082, g3448, g16423	g16423, g4100, g14044, g3448, g9082	g12920, g2357, g19919, g2356, g14144, g9937	g14144, g19919, g2356, g2357, g9937, g12920	g9937, g19919, g14144, g2356, g2357, g12920	g14144, g2356, g19919, g2357, g9937, g12920	g19919, g9937, g14144, g12920, g2356, g2357	g16423, g14044, g4100, g9082, g3448	g3448, g16423, g4100, g14044, g9082	g16423, g4100, g9082, g3448, g14044
OG0000017	g10817, g10813, g23950, g7448	g23950, g10817, g10813, g7448	g10817, g7448, g23950	g7937, g22729, g10572, g3946, g13309	mf_2586, mf_6597, mf_9859, mf_8197, mf_11913	6336.g8175, 6188.g5564	g8175, g12325, g10253, g5564, g1684	g8175, g5564, g12325, g10253, g1684	g8175, g12325, g1684, g5564	g2193, g11515, g9991, g161, g5742, g5739, g7438	g7438, g5742, g5739, g11515, g9991, g161, g2193	g10253, g8175, g12325, g5564, g1684	g5564, g12325, g1684, g8175, g10253	g1684, g5564, g10253, g8175, g12325	g10253, g12325, g5564, g8175, g1684	g8175, g12325, g5564, g10253, g1684	g161, g5739, g2193, g9991, g5742, g11515, g7438	g11515, g161, g5739, g9991, g24725, g5742, g2193, g7438	g7438, g2193, g11515, g161, g5742, g9991, g5739
OG0000018	g15040, g19016, g19015, g20784, g20911, g7688, g19311, g3937	g19016, g19311, g15040, g7688, g3937, g20784, g19015	g19016, g19311, g19015, g7688, g15040, g20911, g3937, g20784	g11657, g28605, g28314, g20031, g9155	mf_2794, mf_2415, mf_5741	2587.g13958, 2586.g1382, 904.g5120	g1382, g5120, g16191, g13958	g5120, g13958, g16191, g1382	g1382, g13958, g16191, g5120	g12748, g11073, g6766, g3117, g3116	g6766, g12748, g3116, g3117, g11073	g5120, g1382, g13958, g16191	g16191, g5120, g1382, g13958	g5120, g1382, g13958, g16191	g13958, g5120, g1382, g16191	g5120, g16191, g1382, g13958	g6766, g3116, g3117, g11073, g12748	g3116, g12748, g3117, g11073, g20763, g6766	g3117, g11073, g3116, g6766, g12748
OG0000019	g14170, g493, g15354, g17075, g1050, g28353, g19799	g28353, g17075, g493, g19799, g20663, g14170, g15354, g1050	g17075, g14170, g493, g28353, g1050, g15354, g19799	g5784, g5836, g5083, g25509	mf_12708, mf_13024, mf_4496, mf_6611, mf_6047	14063.g4274, 7532.g4274, 5928.g3517	g18721, g4274, g3517, g5615	g4274, g3517, g5615, g18721	g4274, g18721, g3517, g5615	g743, g1016, g1064, g12393, g2491	g1016, g743, g1064, g2491, g12393	g4274, g18721, g3517, g5615	g4274, g5615, g3517, g18721	g4274, g5615, g18721, g3517	g3517, g5615, g18721, g4274	g3517, g5615, g4274, g18721	g2491, g1064, g743, g1016, g12393	g743, g12393, g1016, g1064, g2491	g1064, g743, g2491, g1016, g12393
OG0000020	g923, g2812, g17663, g17053	g923, g17663, g17053, g2812	g17663, g923, g2812, g17053	g25747, g24592, g6650, g21503, g5450, g6917	mf_9226, mf_12877, mf_466	16013.g3028, 16954.g23725, 16014.g3020	g18251, g23725, g3020, g3028	g18251, g3020, g3028, g23725	g3028, g3020, g23725, g18251	g19513, g11851, g1276, g1568, g12311, g4196, g18293	g12311, g11851, g18293, g19513, g1568, g1276, g4196	g3028, g18251, g23725, g3020	g18251, g3020, g23725	g23725, g3028, g3020, g18251	g23725, g3028, g3020, g18251	g23725, g3028, g3020, g18251	g19513, g11851, g1276, g18293, g12311, g1568, g4196	g4196, g11851, g25110, g1276, g1568, g19513, g18293, g12311	g1276, g11851, g12311, g4196, g18293, g19513, g1568
OG0000021	g6396, g24772, g13202, g13781, g18559, g6239, g27886, g27730, g4710, g15892	g27886, g6239, g24772, g27730, g4710, g13781, g18559, g15892, g6396, g13202	g6239, g24772, g27886, g6396, g13781, g13202, g15892, g4710, g27730, g9562, g15069	g18519, g1123	mf_10170, mf_12561, mf_9109, mf_11922, mf_11849, mf_2693, mf_1026, mf_9277, mf_7354, mf_99, mf_14641, mf_3897, mf_11859, mf_13618, mf_6300, mf_3574, mf_8863, mf_10770, mf_5119, mf_10344, mf_2321, mf_11198, mf_559, mf_8988, mf_4748, mf_6913, mf_8489, mf_8682, mf_13531, mf_5670, mf_7107	6482.g10530, 15617.g24144, 1893.g10530, 5907.g10530, 7441.g10530	g10530, g24144	g24144, g10530	g10530, g24144	g6819	g6819	g24144, g10530	g24144, g10530	g10530, g24144	g24144, g10530	g10530, g24144	g6819	g6819	g6819
