	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000010	g4927, g7397, g7399, g1847, g6530, g7995	g7399, g7397, g7995, g6530, g1847	g6530, g7995, g7397, g4927, g7399	g30697	mf_3018, mf_3545, mf_7868, mf_9896	g4679	g1309, g1308, g18618, g7419, g8575	g1309, g1308, g18618, g8575, g7419	g7419, g18618, g8575, g1309, g1308	g945, g9235, g17378, g2811	g2811, g9235, g17378, g945	g18618, g1308, g7419, g1309, g8575	g8575, g7419, g1308, g1309, g18618	g1309, g18618, g7419, g8575, g1308	g1309, g8575, g1308, g7419, g18618	g7419, g8575, g1309, g1308, g18618	g2811, g17378, g9235, g945	g20873, g9235, g15293, g945, g21279, g2811, g17378	g945, g2811, g17378, g9235
OG0000011	g15040, g19016, g19015, g20784, g7688, g20911, g19311, g3937	g19016, g7688, g20784, g19015, g19311, g3937	g19016, g19311, g19015, g7688, g15040, g20911, g3937, g20784	g11657, g28605, g28314, g20031, g9155	mf_2415, mf_5741	g6448, g12501, g13725	g5120, g13958, g16191	g5120, g13958, g16191	g13958, g16191, g5120	g12748, g11073, g6766, g3117, g3116	g6766, g12748, g3116, g3117, g11073	g13958, g5120, g16191	g16191, g5120, g13958	g5120, g13958, g16191	g13958, g5120, g16191	g5120, g16191, g13958	g6766, g3116, g3117, g11073, g12748	g3116, g12748, g3117, g11073, g20763, g6766	g11073, g6766, g14213, g3117, g3116, g12748
OG0000012	g12988, g20396, g7291, g25050, g2612, g22883, g24107, g9534	g7291, g20396, g2612, g9534, g22883, g24107	g9534, g7291, g22883, g20396, g24107, g2612	g787, g11891, g24482, g16625, g23923	mf_14532, mf_13682, mf_5736, mf_399, mf_1622, mf_5040, mf_13358	g11825, g723, g13670, g14, g6876, g6878				g19611, g5701, g17667, g8572, g16471, g19727, g4342, g4343	g17667, g19727, g4342, g4343, g16471, g19611, g8572, g5701						g4342, g8572, g4343, g16471, g19727, g19611, g5701, g17667	g4342, g19727, g19611, g17667, g16471, g4343, g21271, g5701, g8572, g21455, g21934, g21935	g5701, g17667, g4342, g4343, g19727, g8572, g16471, g19611
OG0000013	g8095, g18292, g16211, g24869, g27156, g2149, g2151	g24869, g2151, g18292, g27156, g8095, g16211, g2149	g18292, g2151, g2149, g27156, g16211, g24869, g8095	g3196, g3197, g9691, g11793, g9699, g26400, g9701, g9702, g18421, g18420, g12898, g17542, g12896, g17080, g16533, g25160	mf_9660, mf_7643, mf_5263	g7137, g2723, g11465, g13794, g9612, g13793	g7790	g7790	g7790	g8521, g6853, g6852, g8524, g19121	g8524, g8521, g6853, g6852, g19121	g7790	g7790	g7790	g7790	g7790	g19121, g8521, g8524, g6853, g6852	g6852, g6853, g19121, g21445, g21444, g8524, g8521	g8524, g8521, g19121, g6852, g6853
OG0000014	g24712, g14019, g9987, g16856, g5618, g20834	g24712, g14019, g20834, g16856, g5618, g9987	g24712, g9987, g16856, g20834, g14019, g5618	g7369, g10499, g10500, g15074	mf_1402	g2967, g5173, g3066	g15147	g15147	g15147	g19370, g4301, g525, g517, g3333, g17455, g4300, g4193	g17455, g525, g19370, g4301, g4300, g517, g4193, g3333	g20331, g15147	g15147	g15147	g15147	g15147, g20331	g12570, g19370, g4300, g525, g3333, g517, g4301, g4193, g17455	g4193, g17455, g3333, g12570, g525, g19370, g517, g4301, g4300	g19370, g4301, g12570, g517, g3333, g525, g4300, g17455, g4193
OG0000015	g2926, g599, g1008, g15333, g6203	g15333, g599, g2926, g1008, g6203	g599, g6203, g2926, g15333, g1008		mf_10498, mf_13314, mf_6186, mf_3105, mf_3393		g9185, g21629, g3418	g9185, g21629, g3418	g9185, g3418, g21629	g7542, g15885, g15486, g6568, g6281	g6568, g6281, g15885, g7542, g17793, g15486	g9185, g21629, g3418	g9185, g21629, g3418	g21629, g9185, g3418	g3418, g21629, g9185	g3418, g9185, g21629	g15885, g7542, g6568, g6281, g15486	g17793, g15885, g6568, g15486, g6281, g7542, g21894	g6281, g17793, g15885, g15486, g7542, g6568
OG0000016	g24714, g2729, g16157, g17761, g17763, g6262, g1300, g25290	g24714, g17761, g1300, g16157, g17763, g25290, g6262, g2729	g24714, g17761, g6262, g1300, g25290, g16157, g2729, g17763	g22449, g29342, g7816, g9831, g10421, g19472, g13067	mf_2552, mf_785, mf_7000, mf_8634, mf_9032	g9234, g5665, g9438, g9725, g14253, g2739				g8714, g18670, g15682, g3883, g2003, g19035	g15682, g8714, g2003, g18670, g19035, g3883						g3883, g15682, g18670, g19035, g8714, g2003	g2003, g18670, g15682, g23082, g19035, g8714, g3883	g3883, g2003, g8714, g19035, g18670, g15682
OG0000017	g8147, g12803, g7746, g14443, g15561, g10168	g8147, g14443, g15561, g7746	g10168, g14443, g15561, g8147	g25440, g5377, g13133, g7542, g4404	mf_10446, mf_4811	g13939, g10254	g21638, g13026, g13027	g21638, g13026, g13027	g13027, g13026, g21638	g10195, g10197, g20078, g9363, g13645	g20078, g10197, g9363, g10195, g13645	g21638, g13027, g13026	g13026, g21638, g13027	g13027, g21638, g13026	g21638, g13027, g13026	g21638, g13027, g13026	g9363, g13645, g10195, g10197, g20078	g9363, g13645, g10195, g10197, g20078	g9363, g10195, g10197, g20078, g13645
OG0000018	g12252, g14481, g14463, g614, g14482, g23094	g614, g10494, g23094, g12252, g14482, g14481, g14463	g23094, g614, g14481, g14463, g12252	g11975, g16753, g11981, g11980, g11979, g18704	mf_2193, mf_2400	g13975, g13974, g13976, g1431				g5947, g13732, g5944, g14280, g13733, g15550, g5738, g5946	g5946, g13732, g5944, g14280, g5947, g5738, g15550, g13733						g14280, g5946, g15550, g5738, g13733, g13732, g5944, g5947	g5946, g5947, g5944, g13732, g5738, g15550, g14280, g13733	g15550, g13733, g14280, g5946, g5738, g5944, g13732, g5947
OG0000019	g923, g2812, g17663	g923, g17663, g2812	g17663, g923, g2812	g25747, g6650, g21503, g5450	mf_9226, mf_466	g1168	g23725, g3020, g3028	g3020, g3028, g23725	g3020, g23725, g3028	g11851, g19513, g12311, g4196, g18293, g1276	g12311, g11851, g18293, g19513, g1276, g4196	g3028, g23725, g3020	g3020, g23725	g23725, g3028, g3020	g23725, g3028, g3020	g23725, g3028, g3020	g19513, g18293, g11851, g1276, g12311, g4196	g4196, g11851, g25110, g1276, g19513, g18293, g12311	g1276, g11851, g12311, g18293, g19513, g4196
OG0000020	g1662, g9034, g10071, g5739, g20095	g10071, g5739, g1662, g9034, g20095	g1662, g9034, g10071, g5739, g20095	g20824, g6489, g30116, g6483	mf_4495, mf_13243, mf_842	g7276, g11086	g6881, g14305, g4071	g4071, g6881, g15810, g14305	g15810, g14305, g6881, g4071	g3353, g15198, g5602	g15198, g3353, g5602	g4071, g14305, g6881, g15810	g14305, g6881, g4071, g15810	g4071, g15810, g14305, g6881	g15810, g6881, g4071, g14305	g6881, g15810, g14305, g4071	g3353, g15198, g5602	g3353, g5602, g15198	g5602, g3353, g15198
OG0000021	g30127, g6433, g19753, g28994	g19753, g6433, g28994, g30127	g30127, g28994, g6433, g19753	g11383, g12334, g20927, g13771	mf_14849, mf_9383, mf_4197, mf_10004	g12269, g10765, g13178	g12176, g7905, g9290, g1347	g1347, g9290, g7905, g12176	g12176, g7905, g9290, g1347	g5298, g11574, g11540	g11574, g5298, g11540	g7905, g12176, g9290, g1347	g12176, g7905, g1347, g9290	g12176, g1347, g9290, g7905	g7905, g12176, g9290, g1347	g7905, g12176, g1347, g9290	g11574, g5298, g11540	g11574, g5298, g11540	g11540, g5298, g11574
OG0000022	g12700, g9525, g21760, g24602	g9525, g24602, g12700	g9525, g21760, g12700, g24602	g25826, g20277, g8697, g21466, g17696, g26551, g11351	mf_13179, mf_9217	g861	g4510, g12816, g1438, g4504	g4510, g12816, g4504	g1438, g4504, g4510, g12816	g1725, g7097, g9160, g4665	g9160, g1725, g7097, g4665	g4510, g4504, g12816	g1438, g4510, g4504, g12816	g4504, g12816, g4510	g4510, g12816, g4504, g1438	g4504, g12816, g4510, g1438	g7097, g1725, g9160, g4665	g9160, g1725, g4665, g7097	g4665, g9160, g1725, g7097
OG0000023	g27405, g18549, g8491, g12174, g11464	g11464, g18549, g27405, g417	g18549, g27405, g417	g12298, g7863, g26279, g25188, g18243	mf_14042	g4285, g7709, g3929, g4350	g11120, g7994, g15227	g11120, g15227, g7994	g7994, g15227, g11120	g13191, g1836, g17338	g8415, g5332, g17338, g1836, g13191	g11120, g7994, g15227	g15227, g11120, g7994	g11120, g15227, g7994	g11120, g15227, g7994	g11120, g15227, g7994	g1836, g17338, g13191, g5332, g8415	g1836, g8415, g5332, g17338, g13191	g8415, g5332, g17338, g1836, g13191
OG0000024	g26027, g8995, g13761	g8995, g26027, g13761	g26027, g13761, g8995	g16365, g8801, g5933	mf_4771, mf_14648	g10966, g9090, g10827	g15125, g22730, g22731, g14846	g14846, g22730, g22731, g15125	g22731, g22730, g15125, g14846	g20272, g12145, g7431, g7430	g12145, g20272, g7430, g7431	g22730, g14846, g15125, g22731	g22730, g14846, g15125, g22731	g15125, g22731, g22730, g14846	g22730, g22731, g15125, g14846	g15125, g14846, g22731, g22730	g7431, g7430, g20272, g12145	g7431, g7430, g20272, g12145	g20272, g7430, g7431, g12145
OG0000025	g24435, g22226, g19931, g22199	g24435, g22226, g22199, g19931	g24435, g22199, g19931, g22226		mf_5505, mf_2861, mf_9590, mf_10445	g8900, g615, g12156	g17538, g9759, g4298, g20969, g14686, g20272	g20272, g14686, g20969, g9759, g17538	g14686, g9759, g4298, g20969, g20272, g17538	g1110	g1110	g20969, g14686, g17538, g4298, g9759	g14686, g20969, g17538, g4298, g9759	g14686, g4298, g9759, g17538, g20969	g9759, g4298, g17538, g20969, g20272, g14686	g4298, g20969, g14686, g20272, g17538, g9759	g1110	g1110	g1110
OG0000026	g7719, g10294, g2762, g25358, g3306	g25358, g7719, g2762, g3306, g10294	g2762, g10294, g7719, g3306	g7367, g7337, g20750, g6187	mf_10406, mf_15077	g3134	g15443, g18626	g18626, g15443	g18626, g15443	g3330, g14203, g1268, g15287, g520, g1270	g3330, g1268, g520, g1270, g14203, g15287	g18626, g15443	g15443, g18626	g15443, g18626	g15443, g18626	g18626, g15443	g3330, g520, g1268, g1270, g15287, g14203	g15287, g520, g1270, g3330, g14203, g1268	g1270, g520, g1268, g3330, g15287, g14203
OG0000027	g12106, g7899, g6235, g14003, g14002, g7898	g12106, g6235, g14002, g7899, g7898	g12106, g6235, g7899, g7898	g14459, g8497, g8498, g14458	mf_12406	g6249	g17274, g9839	g17274, g9839	g9839, g17274	g2221, g2220, g5698, g18063, g18064, g5697	g18063, g18064, g5697, g5698, g2221, g2220	g17274, g9839	g17274, g9839	g17274, g9839	g9839, g17274	g9839, g17274	g18064, g18063, g2220, g2221, g5697, g5698	g2221, g2220, g5697, g5698, g18063, g18064	g2220, g5697, g5698, g2221, g18064, g18063
OG0000028	g27189, g10356, g25507, g1095, g15087	g27189, g25507, g10356, g15087	g25507, g15087, g1095, g27189, g10356	g1313, g8663, g1317, g22530	mf_10651	g13074	g6842, g6846	g6842, g6846	g6846, g6842	g8068, g19128, g13248, g13252, g13250, g13974	g13250, g13252, g13248, g13974, g8068, g19128	g6846, g6842	g6846, g6842	g6842, g6846	g6846, g6842	g6846, g6842	g13252, g8068, g13974, g13248, g13250, g19128	g13248, g19128, g8068, g13252, g13974, g13250	g19128, g13250, g13974, g8068, g13248, g13252
OG0000029	g8469, g28949, g14444, g5112	g28949, g14444, g8469, g5112	g8469, g14444, g5112, g28949	g24036	mf_3922, mf_14400, mf_3251	g10255, g1039, g9520, g7783	g5841, g24139, g9116, g14198, g16553	g14198, g5841, g16553, g9116, g24139	g16553, g24139, g9116, g14198, g5841	g8939	g8939	g16553, g5841, g9116, g14198, g24139	g24139, g14198, g9116, g16553, g5841	g24139, g9116, g14198, g16553, g5841	g14198, g24139, g9116, g5841, g16553	g24139, g9116, g14198, g16553, g5841	g8939	g8939	g8939
OG0000030	g16955, g12430, g25115, g16329, g21219	g16955, g16329, g12430, g25115	g16329, g12430, g25115, g16955	g5739, g10511, g3181, g5490		g3933	g20736, g8369	g20736, g8369	g8369, g20736	g5434, g19125, g3012, g3748, g4345, g12969	g3012, g19125, g4345, g12969, g5434, g3748	g8369, g20736	g20736, g8369	g20736, g8369	g8369, g20736	g8369, g20736	g3012, g4345, g19125, g3748, g5434, g12969	g19125, g3748, g4345, g21759, g5434, g12969, g3012	g3012, g19125, g12969, g3748, g4345, g5434
OG0000031		g10004	g10004		mf_8036, mf_5591, mf_15087		g7664, g15745, g4203, g12528, g12525	g15745, g12525, g12528, g7664, g4203	g12525, g12528, g7664, g4203, g15745	g3154, g1368, g14362, g15629	g15629, g3154, g1368, g14362	g12528, g4203, g12525, g15745, g7664	g12528, g4203, g12525, g15745, g7664	g7664, g15745, g4203, g12525, g12528	g7664, g15745, g12525, g12528, g4203	g12528, g12525, g7664, g15745, g4203	g1368, g3154, g14362, g15629	g3154, g1368, g14362, g15629	g14362, g3154, g15629, g1368
OG0000032	g3985, g3986, g4633	g3986, g3985, g4633	g2156, g4633, g3985, g3986	g7879	mf_12740, mf_14324, mf_13822, mf_3334, mf_2528		g14772, g14769, g14770, g3397, g2935, g2936	g2935, g2936, g14772, g14769, g3397, g14770	g2935, g3397, g2936, g14770, g14769, g14772			g3397, g2935, g2936, g14772, g14769, g14770	g14772, g14770, g14769, g3397, g2936, g2935	g14772, g2936, g2935, g3397, g14770, g14769	g2935, g3397, g14769, g14772, g14770, g2936	g3397, g2935, g14769, g14770, g2936, g14772			
OG0000033	g10775, g8257, g8652, g9993	g8652, g8257, g9993, g10775	g8652, g9993, g10775, g8257	g6406, g13419, g9040	mf_14954	g7451, g2944, g9176	g7092, g6824, g3889, g2605	g7092, g2605, g6824, g3889	g6824, g2605, g7092, g3889	g11228, g18915, g14379	g14379, g11228, g18915	g2605, g6824, g7092	g2605, g3889, g6824	g7092, g2605, g6824	g6824, g7092, g3889, g2605	g7092, g3889, g2605, g6824	g11228, g18915, g14379	g18915, g21843, g11228, g14379	g14379, g18915, g11228
OG0000034	g18354, g17457, g20527, g5499, g19121	g5499, g18354, g17457, g19121	g5499, g19121, g18354, g17457	g19037, g27265, g2792, g27266, g6819, g15040, g10077, g14783, g20327, g6820	mf_9612, mf_13278, mf_6246, mf_1901, mf_12640, mf_1771, mf_7053, mf_11832	g5981, g6301	g19621	g19621	g19621	g8242, g3389, g8332, g5703	g8332, g5703, g3389, g8242	g19621	g19621	g19621	g19621	g19621	g8332, g8242, g5703, g3389	g21738, g5703, g8242, g21737, g23902, g3389, g8332	g5703, g8332, g3389, g8242
OG0000035	g19109, g7524, g8715, g3764	g3764, g7524, g19109, g8715	g19109, g8715, g7524, g3764	g17151, g17150, g24123, g22189, g22831	mf_3464	g11272, g5787, g8927	g477, g3899, g7814, g12946	g12946, g477, g7814, g3899	g12946, g3899, g477, g7814	g12120, g17505	g12120, g17505	g477, g12946, g3899, g7814	g3899, g477, g12946, g7814	g3899, g7814, g477, g12946	g477, g12946, g3899, g7814	g477, g3899, g12946, g7814	g17505, g12120	g17505, g12120	g12120, g17505
OG0000036	g20101, g9547	g20101, g9547	g9547, g20101	g2741, g19315	mf_7528, mf_8209	g6782	g10092, g10093, g15144, g15143	g15143, g15144, g10093, g10092	g15144, g15143, g10093, g10092	g2656, g14409, g14408, g2657	g14408, g14409, g2657, g2656	g15143, g15144, g10093, g10092	g15143, g15144, g10093, g10092	g15143, g10092, g10093, g15144	g10092, g15143, g15144, g10093	g15143, g15144, g10092, g10093	g14409, g14408, g2656, g2657	g2656, g2657, g14409, g14408	g2656, g14408, g14409, g2657
