	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000015	g10515, g10513	g12557, g10515, g10513	g10513, g10515	g20744, g175, g30830	mf_845		g9616, g12567	g12567, g9616	g9616, g12567	g13813, g14469, g14148, g11991	g11991, g13813, g14148, g14469	g9616, g12567	g12567, g9616	g9616, g12567	g12567, g9616	g12446, g12567, g9616	g14148, g11991, g13813, g14469	g14148, g11991, g14469, g13813	g13813, g14469, g11991, g14148
OG0000016	g112, g1411, g24568	g112, g24568, g1411	g112, g24568, g1411	g20838, g13331	mf_5088	g1176	g6149, g12778, g6142	g12778, g6149, g6142	g6149, g12778, g6142	g15303, g7042	g15303, g7042	g6149, g6142, g12778	g6149, g6142, g12778	g12778, g6142, g6149	g6149, g6142, g12778	g6142, g12778, g6149	g7042, g15303	g15303, g7042	g7042, g15303
OG0000017	g28284, g14592, g6486, g18107	g18107, g28284, g6486, g14592	g28284, g14592, g6486, g18107	g13392, g18514	mf_3554	g11235	g10085, g746	g746, g10085	g10085, g746	g8495, g14349, g5674	g5674, g14349, g8495	g746, g10085	g10085, g746	g10085, g746	g10085, g746	g10085, g746	g5674, g8495, g14349	g14349, g8495, g5674	g8495, g5674, g14349
OG0000018	g15737, g12791, g12798, g7675	g7675, g12798, g15737	g12798, g15737, g12791, g7675	g1466, g22090	mf_10215, mf_9041	g12805	g18200, g1465	g18200, g1465	g1465, g18200	g9484, g1780, g1786	g9484, g1786, g1780	g18200, g1465	g1465, g18200	g18200, g1465	g1465, g18200	g18200, g1465	g9484, g1786, g1780	g1780, g1786, g9484	g1780, g1786, g9484
OG0000019	g18476, g10907, g14023, g4837, g20707	g14023, g18476, g10907, g20707	g14023, g10907, g20707, g18476		mf_9251	g320	g12473, g7105, g18525	g18525, g7105, g12473	g18525, g7105, g12473	g17163	g17163	g12473, g18525, g7105	g18525, g12473, g7105	g18525, g7105, g12473	g12473, g18525, g7105	g12473, g7105, g18525	g17163	g22792, g22199, g17163	g17163
OG0000020	g7211, g29255, g26711	g26711, g29255, g7211	g7211, g26711, g29255	g18062, g10813	mf_12684, mf_4703	g11187, g12425	g8539, g6112	g6112, g8539	g8539, g6112	g8976, g16138, g6290	g6290, g16138, g8976	g8539, g6112	g6112, g8539	g6112, g8539	g6112, g8539	g8539, g6112	g8976, g6290, g16138	g6290, g16138, g8976	g16138, g6290, g8976
OG0000021	g12746	g12746	g12746	g12658, g26888	mf_14990, mf_688		g195, g18491, g14104	g18491, g195, g14104	g14104, g18491, g195	g18598, g11929, g983	g18598, g983, g11929	g18491, g14104, g195	g195, g18491, g14104	g18491, g14104, g195	g14104, g18491, g195	g14104, g195, g18491	g18598, g983, g11929	g18598, g11929, g983	g11929, g18598, g983
OG0000022	g11437, g442	g11437, g442	g11437, g442	g21550, g17060	mf_15118, mf_2167	g8750	g16564, g9619, g10639	g9619, g10639, g16564	g10639, g16564, g9619	g1847, g9662	g9662, g1847	g10639, g16564, g9619	g10639, g16564, g9619	g10639, g16564, g9619	g9619, g10639, g16564	g16564, g10639, g9619	g9662, g1847	g1847, g9662	g9662, g1847
OG0000023	g15320, g11879, g4435, g14466	g4435, g11879, g14466, g15320	g11879, g4435, g14466, g15320	g26394		g9387, g14111	g3570, g1430	g1430, g3570	g3570, g1430	g2277, g16234, g1728	g1728, g16234, g2277	g3570	g3570, g1430	g1430, g3570	g1430, g3570	g3570, g1430	g2277, g16234, g1728	g16234, g2277, g1728	g1728, g16234, g2277
OG0000024	g25777, g19235, g12571	g19235	g25777, g19235	g8288, g19014	mf_8056, mf_14332	g1703, g8055	g6333, g10591	g10591, g6333	g6333, g10591	g1845, g3699, g709	g709, g1845, g3699	g6333, g10591	g10591, g6333	g10591, g6333	g6333, g10591	g10591, g6333	g709, g1845, g3699	g1845, g20536, g21497, g3699, g709	g709, g3699, g1845
OG0000025	g29885, g16603, g20637	g16603, g29885, g20637	g29885, g16603, g20637	g8235, g5341, g22526	mf_353	g3326	g19939, g11581	g11581, g19939	g19939, g11581	g8287, g16302, g8434	g16302, g8434, g8287	g11581, g19939	g11581, g19939	g19939, g11581	g11581, g19939	g11581, g19939	g8434, g16302, g8287	g8287, g8434, g16302	g8287, g8434, g16302
OG0000026	g17315, g17157	g17157, g17315	g17315, g17157	g25206, g14472	mf_8229	g651	g3830, g13423	g13423, g3830	g3830, g13423	g15275, g6856, g6080	g6080, g6856, g15275, g1588	g13423, g3830	g13423, g3830	g13423, g3830	g3830, g13423	g13423, g3830	g15275, g6856, g6080, g1588	g1588, g6856, g6080, g15275	g15275, g1588, g6080, g6856
OG0000027	g26978, g7855, g286	g7855, g286	g286, g7855	g20579, g13403	mf_6739, mf_8009, mf_8598	g3107	g22711, g13161	g13161, g22711	g13161, g22711	g17836, g18869, g8047	g8047, g17836, g18869	g13161, g22711	g13161, g22711	g22711, g13161	g22711, g13161	g13161, g22711	g8047, g17836, g18869	g8047, g17836, g18869	g18869, g17836, g8047
OG0000028	g5997, g1598, g23055, g20475	g5997, g1598, g23055	g5997, g1598, g23055, g20475	g18107, g4258, g2303, g11661, g6823	mf_7897	g2590	g9905, g17279, g22754	g9905, g22754, g17279	g22754, g17279	g19449	g19449	g22754, g9905	g22754, g9905	g9905, g22754	g9905, g22754, g17279	g22754, g17279, g9905	g19449	g19449	g19449, g19445
OG0000029	g2893, g22286, g11302	g22286, g11302	g2893	g13046	mf_14862, mf_9991	g4479	g11419, g8948, g8947	g8948, g8947, g11419	g8948, g8947, g11419	g16555, g11979	g11979, g16555	g8948, g8947, g11419	g8947, g8948, g11419	g11419, g8947, g8948	g8947, g11419, g8948	g11419, g8948, g8947	g16555, g11979	g11979, g16555	g11979, g16555
OG0000030	g18358, g7054, g7060, g17286	g7054, g7060, g17286	g7060, g17286, g7054	g18343	mf_3971	g3730	g5456, g5451	g5456, g5451	g5451, g5456	g13854, g9923, g12950	g9923, g12950, g13854	g5456, g5451	g5451, g5456	g5451, g5456	g5456, g5451	g5456, g5451	g12950, g9923, g13854	g12950, g9923, g13854	g13854, g9923, g12950
OG0000031	g15767, g27414, g24226, g20590	g24226, g15767, g27414	g27414, g24226, g15767				g11809, g11459, g7673	g7673, g11459	g7673, g11459, g11809	g18921, g18876	g18876, g18921	g11809, g11459, g7673	g7673, g11459	g11809, g7673, g11459	g11459, g7673, g11809	g11809, g11459, g7673	g18876, g18921	g18921, g450, g18876, g22674	g18921, g18876
OG0000032	g25624, g17932	g17932, g25624	g17932	g4913, g5160	mf_1468, mf_9638	g10093	g11309, g372, g9852	g11309, g9852, g372	g372, g11309, g9852	g8023, g18677	g8023, g18677	g11309, g9852, g372	g372, g11309, g9852	g372, g9852, g11309	g372, g9852, g11309	g372, g11309, g9852	g8023, g18677	g8023, g18677	g8023, g18677
OG0000033	g29873	g29873	g29873	g3519, g3518, g25006, g25005		g10851, g10850	g22841, g22842, g11267, g11266	g22842, g22841, g11267, g11266	g11266, g11267, g22841, g22842			g22841, g22842, g11266, g11267	g22842, g22841, g11266, g11267	g11266, g11267, g22841, g22842	g11266, g11267, g22842, g22841	g22842, g22841, g11267, g11266		g21808, g22533, g22166	
OG0000034	g16980, g19538, g687, g8911	g16980, g19538, g687	g16980, g8911, g687, g19538	g24795, g14919	mf_6900	g4292	g4372, g2660	g2660, g4372	g2660, g4372	g13936, g8303	g13936, g8303	g2660, g4372	g4372, g2660	g2660, g4372	g2660, g4372	g2660, g4372	g13936, g8303	g13936, g24716, g8303, g21034	g13936, g8303
OG0000035	g22445, g11949, g3946	g11949, g3946, g22445	g11949, g3946, g22445	g11855, g16558		g13760	g3862, g3850	g3850, g3862	g3850, g3862	g4259, g14450, g10319	g10319, g14450, g4259	g3862, g3850	g3850, g3862	g3862, g3850	g3850, g3862	g3862, g3850	g14450, g10319, g4259	g10319, g4259, g14450	g10319, g4259, g14450
OG0000036	g4668, g28574	g28574, g4668	g28574, g4668	g21991	mf_11887, mf_4955		g15190, g14584, g16667	g14584, g15190, g16667	g16667, g14584, g15190	g3672, g564	g3672, g564	g14584, g16667, g15190	g15190, g14584, g16667	g16667, g14584, g15190	g16667, g15190, g14584	g15190, g14584, g16667	g564, g3672	g3672, g564	g3672, g564
OG0000037	g10979, g19836, g4807	g10979, g19836, g4807	g4807, g10979, g19836	g9526, g16638		g10237	g15446, g12968	g12968, g15446	g12968, g15446	g19966, g2509, g1829	g2509, g1829, g19966	g12968, g15446	g12968, g15446	g15446, g12968	g12968, g15446	g12968, g15446	g2509, g1829, g19966	g19966, g2509, g1829	g2509, g1829, g19966
OG0000038	g24933, g5564	g5564, g24933	g5564, g24933	g1220		g14340	g1062, g22890, g7910	g1062, g7910, g22890	g22890, g1062, g7910	g3457, g13846	g13846, g3457	g22890, g1062, g7910	g1062, g22890, g7910	g22890, g1062, g7910	g22890, g1062, g7910	g1062, g22890, g7910	g13846, g3457	g13846, g3457, g22845	g3457, g13846
OG0000039	g6741, g25593	g25593, g6741	g6741, g25593	g20716, g14393, g15972, g16918		g7265	g1246, g1975	g1246, g1975	g1975, g1246	g17260, g4720, g11596	g4720, g17260, g11596	g1246, g1975	g1246, g1975	g1246, g1975	g1975, g1246	g1975, g21051, g1246	g17260, g4720, g11596	g17260, g11596, g4720	g4720, g11596, g17260
OG0000040	g12836, g15461	g15461, g12836	g15461, g12836	g15490	mf_8965	g13850	g7041, g8855, g1346	g7041, g8855, g1346	g8855, g1346, g7041	g2159, g4451	g4451, g2159	g7041, g8855, g1346	g8855, g1346, g7041	g8855, g1346, g7041	g8855, g7041, g1346	g8855, g1346, g7041	g4451, g2159	g2159, g4451	g2159, g4451
OG0000041	g15102, g16418	g15102, g16418	g16418, g15102	g9126			g7409, g9615	g9615, g7409	g7409, g9615	g1108, g18007, g10236, g12657	g12657, g10236, g1108, g18007	g9615, g7409	g7409, g9615	g9615, g7409	g9615, g7409	g7409, g9615	g1108, g10236, g18007, g12657	g1108, g12657, g10236, g18007	g18007, g1108, g10236, g12657
OG0000042	g18706, g26624, g19788	g18706, g19788	g18706, g19788	g25514, g10152		g930	g8201, g18281, g3588	g3588, g8201, g18281	g8201, g18281, g3588	g3073, g9250	g3073, g9250	g8201, g3588	g8201, g3588, g18281	g3588, g8201	g18281, g8201, g3588	g18281, g8201, g3588	g9250, g3073	g22449, g3073, g9250	g3073, g9250
OG0000043	g29595	g29595	g29595	g191, g661	mf_3160, mf_11634	g631	g10049, g15735, g5970	g15735, g10049, g5970	g15735, g5970, g10049	g2099, g13950	g13950, g2099	g5970, g10049, g15735	g15735, g10049, g5970	g5970, g10049, g15735	g5970, g10049, g15735	g10049, g15735, g5970	g13950, g2099	g2099, g13950, g22163	g2099, g13950
OG0000044				g4270	mf_13293, mf_1383, mf_8125	g4322, g8552	g11364, g155, g12205, g3893	g12205, g155, g11364, g3893	g3893, g11364, g155, g12205	g19697	g19697	g3893, g11364, g155, g12205	g12205, g155, g3893, g11364	g11364, g3893, g12205, g155	g12205, g3893, g155, g11364	g155, g3893, g11364, g12205	g19697	g19697	g19697
OG0000045	g431, g9589	g431, g9589	g431	g5057	mf_5171	g9764	g1695, g13421, g15853	g15853, g1695, g13421	g15853, g13421, g1695	g17990, g13188	g17990, g13188	g15853, g13421, g1695	g1695, g15853, g13421	g13421, g15853, g1695	g1695, g13421, g15853	g1695, g13421, g15853	g13188, g17990	g17990, g13188	g13188, g17990
OG0000046	g2326, g7121	g7121, g2326	g2326, g7121	g22123	mf_11311	g4226, g4225	g17954, g162	g17954, g162	g17954, g162	g13236, g11742, g3256	g13236, g11742, g3256	g162, g17954	g162, g17954	g17954, g162	g17954, g162	g162, g17954	g13236, g3256, g11742	g22927, g11742, g3256, g13236	g3256, g13236, g11742
OG0000047	g3103, g9556	g9556, g3103	g9556, g3103	g24637, g19747, g9959, g1478, g12965, g15099		g11694	g2432, g2576, g4240	g4240, g2432, g2576	g2576, g4240, g2432	g949	g949	g2432, g4240, g2576	g4240, g2576, g2432	g2576, g4240, g2432	g4240, g2432, g2576	g2432, g2576, g4240	g949	g949	g949
OG0000048	g3687, g10394	g10394, g3687	g10394, g3687	g5396, g22407	mf_6238, mf_13954	g10008	g3673, g613	g3673, g613	g3673, g613	g10588, g12632, g15633	g15633, g10588, g12632	g613, g3673	g613, g3673	g613, g3673	g613, g3673	g613, g3673	g12632, g10588, g15633	g10588, g15633, g12632	g15633, g12632, g10588
OG0000049	g4905, g13916, g4908, g3843	g3843, g4905, g4908, g13916	g13916, g3843, g4905, g4908	g10243, g21987	mf_870	g11358	g2969, g7230	g7230, g2969	g7230, g2969	g1392, g16079	g1392, g16079	g7230, g2969	g7230, g2969	g7230, g2969	g7230, g2969	g2969, g7230	g1392, g16079	g16079, g1392	g16079, g1392
OG0000050	g8571, g27193	g8571, g27193	g8571, g27193	g22942, g21914	mf_10918, mf_9256	g14300	g5705, g5711	g5705, g5711	g5711, g5705	g2341, g19740, g16325	g16325, g19740, g2341	g5705, g5711	g5711, g5705	g5705, g5711	g5711, g5705	g5705, g5711	g2341, g16325, g19740	g2341, g19740, g16325	g2341, g16325, g19740
OG0000051	g15768, g27130, g8861, g23285, g12519	g27130, g6160		g24926, g18360, g18222		g14007, g14006, g8958	g17564, g820, g819	g17564, g819	g819, g820, g17564	g17971	g17971	g820, g17564	g819, g820, g17564	g819, g820, g17564	g820, g819, g17564	g17564, g820, g819	g17971	g17971, g22589, g20351	g17971
OG0000052	g11942, g15399, g24281	g15399, g11942, g24281	g11942, g24281, g15399	g20320, g4651	mf_13413		g15426, g15423	g15426, g15423	g15426, g15423	g4898, g3801, g18709	g3801, g18709, g4898	g15426, g15423	g15426	g15423, g15426	g15423, g15426	g15426, g15423	g3801, g4898, g18709	g4898, g3801, g18709	g3801, g4898, g18709
OG0000053	g117, g24564	g24564, g117	g117, g24564	g2768, g11406, g12856	mf_3062	g12548	g9143, g20383, g6137	g6137, g9143, g20383	g6137, g9143, g20383	g7037	g7037	g9143, g20383, g6137	g20383, g6137, g9143	g6137, g9143, g20383	g9143, g20383, g6137	g20383, g9143, g6137	g7037	g20804, g7037	g7037
OG0000054	g627, g26836	g26836, g627	g26836	g26239, g5238	mf_1710	g10025, g13929	g13058, g6057	g13058, g6057	g6057, g13058	g10416, g1365, g2728	g2728, g1365, g10416	g6057, g13058	g6057, g13058	g6057, g13058	g13058, g6057	g6057, g13058	g1365, g10416, g2728	g10416, g1365, g2728	g2728, g1365, g10416
OG0000055	g757, g6558, g4371	g757, g6558, g4371	g4371, g6558, g757		mf_213		g17265, g3923	g3923, g17265	g3923, g17265	g17831, g18770, g13257	g13257, g18770, g17831	g17265, g3923	g3923, g17265	g17265, g3923	g17265, g3923	g17265, g3923	g17831, g18770, g13257	g18770, g13257, g17831	g18770, g17831, g13257
OG0000056	g27457, g1549	g27457	g27457	g30488	mf_7224	g7427	g22937, g13235, g2003	g22937, g13235, g2003	g2003, g22937, g13235	g1914, g1887	g1914, g1887	g22937, g13235, g2003	g13235, g22937, g2003	g22937, g13235, g2003	g13235, g2003, g22937	g2003, g22937, g13235	g1887, g1914	g1914, g1887	g1914, g1887
OG0000057	g13952, g2523, g28219	g2523, g28219	g28219, g2523	g5311	mf_3401	g9565	g10420, g3279, g3273	g3273, g3279	g3279, g3273, g10420	g10862, g13858	g10862, g13858	g3279, g10420	g10420, g3279, g3273	g3279, g10420	g3279, g10420, g3273	g3273, g10420, g3279	g10862, g13858	g13858, g10862	g10862, g13858
OG0000058	g3149, g5720, g20669	g3149, g5720	g3149, g5720	g25546, g114	mf_9180	g8833	g13559, g1604	g1604, g13559	g1604, g13559	g1593, g17426, g17519	g1593, g17426, g17519	g13559, g1604	g13559	g1604, g13559	g1604, g13559	g13559, g1604	g17519, g1593, g17426	g1593, g17519, g17426	g1593, g17519, g17426
OG0000059	g7284, g5327	g5327, g7284	g7284, g5327	g2402, g13073		g12677, g750	g15666, g12060	g15666, g12060	g15666, g12060	g12688, g11980, g5834	g5834, g11980, g12688	g15666, g12060	g15666, g12060	g12060, g15666	g15666, g12060	g12060, g15666	g12688, g5834, g11980	g5834, g12688, g11980	g11980, g12688, g5834
OG0000060	g6214	g6214	g6214	g30498	mf_3628, mf_5345	g6484	g629, g633, g645	g629, g645, g633	g633, g645, g629	g17693, g18827	g17693, g18827	g645, g633, g629	g633, g629, g645	g645, g633, g629	g629, g633, g645	g629, g633, g645	g17693, g18827	g18827, g17693	g18827, g17693
OG0000061	g25369, g7387	g25369, g7387	g25369, g7387	g25052, g1614	mf_10118	g6157	g4320, g11709	g11709, g4320	g11709, g4320	g4287, g19064, g13367	g13367, g19064, g4287	g11709, g4320	g11709, g4320	g11709, g4320	g4320, g11709	g11709, g4320	g19064, g13367, g4287	g4287, g19064, g13367	g13367, g19064, g4287
OG0000062	g27024, g7881	g7881, g27024	g7881, g27024	g21850, g24572	mf_5886, mf_7690	g1134, g10853	g22844, g1479, g11264	g1479, g22844, g11264	g11264, g1479, g22844	g12090	g12090	g22844, g1479, g11264	g1479, g11264, g22844	g11264, g22844, g1479	g11264, g1479, g22844	g1479, g22844, g11264	g12090	g12090	g12090
