	MareHarA_ref.aa.fasta	MareL28.aa.fasta	MareL32.aa.fasta	MentL30_ref.aa.fasta	MfloJB5_ref.aa.fasta	MfloSJF1_ref.aa.fasta	Minc557R.aa.fasta	MincA14.aa.fasta	MincHarC.aa.fasta	MincL15.aa.fasta	MincL17.aa.fasta	MincL19.aa.fasta	MincL27.aa.fasta	MincL9.aa.fasta	MincVW6.aa.fasta	MincW1_ref.aa.fasta	MjavL57.aa.fasta	MjavVW4_ref.aa.fasta	MjavVW5.aa.fasta
OG0000010	g14170, g493, g15354, g17075, g19799, g20560, g1050, g28353	g20560, g19799, g20663, g28353, g4947, g17075, g493, g14170, g15354, g1050	g14170, g20560, g28353, g493, g15354, g19799, g17075, g26783, g4947, g1050	g5784, g6203, g10531, g5836, g5083, g25509	mf_2311, mf_12708, mf_4496, mf_6047, mf_13024, mf_6611	g8638, g2956	g4274, g3517, g18721, g5615	g4274, g3517, g5615, g18721	g18721, g5615, g4274, g3517	g2547, g12792, g1064, g12393, g1016, g743, g5982, g18170, g13676, g19494, g2491	g19494, g2491, g18170, g12792, g13676, g2547, g1016, g743, g1064, g5982, g12393	g18721, g5615, g4274, g3517	g4274, g5615, g3517, g18721	g4274, g18721, g3517, g5615	g3517, g4274, g5615, g18721	g4274, g3517, g5615, g18721	g2547, g2491, g18170, g1064, g743, g1016, g19494, g13676, g12792, g5982, g12393	g743, g12393, g21631, g5982, g18170, g1016, g20898, g19494, g1064, g13676, g2491, g12792, g2547	g1064, g12792, g2491, g13676, g19494, g18170, g743, g2547, g1016, g12393, g5982
OG0000011	g8095, g18292, g16211, g24869, g27156, g3735, g2149, g2151, g20145	g24869, g20145, g2151, g27156, g8095, g18292, g16211, g2149, g3735	g18292, g3735, g2149, g16211, g20145, g24869, g8095, g2151, g27156	g3197, g26400, g9701, g9702, g25923, g21410, g18421, g18420, g12898, g9691, g17542, g9699, g17080, g25160, g11793, g3196, g12896, g16533	mf_10907, mf_9660, mf_7643, mf_5263	g7137, g2209, g9612, g13793, g11465, g11467, g2723, g13794	g7792, g7791, g11985, g7790	g11985, g7791, g7790, g7792	g7791, g7792, g11985, g7790	g8521, g6853, g6852, g19121, g8524, g17138	g17138, g8521, g8524, g6853, g6852, g19121	g7790, g7792, g7791, g11985	g7791, g7792, g7790	g7792, g7790, g7791, g11985	g7791, g11985, g7792, g7790	g7790, g11985, g7792, g7791	g19121, g17138, g8521, g8524, g6853, g6852	g6853, g21445, g8524, g8521, g6852, g22096, g21444, g19121, g17138	g8524, g8521, g6853, g19121, g17138, g6852
OG0000012	g4633, g5451, g2156, g2158, g3987, g3985, g3986	g2158, g3985, g4633, g5451, g3987, g3986	g2156, g2158, g3985, g4633, g5451, g3986, g3987	g7879	mf_14324, mf_7703, mf_10731, mf_12740, mf_15025, mf_13822, mf_3334, mf_11297, mf_2528		g14771, g14772, g14769, g14768, g3397, g14776, g14773, g2935, g2936, g2934, g14770	g14769, g14768, g2934, g14771, g3397, g14776, g2935, g14772, g14770, g14773, g2936	g2934, g14773, g3397, g14776, g2935, g2936, g14769, g14768, g14772, g14771, g14770			g3397, g14768, g14776, g14772, g14769, g2934, g2935, g2936, g14773, g14771, g14770	g2935, g3397, g2936, g2934, g14769, g14772, g14773, g14770, g14771, g14776, g14768	g14776, g14773, g14772, g2936, g2934, g2935, g3397, g14770, g14771, g14768, g14769	g2935, g2934, g2936, g14769, g3397, g14768, g14771, g14772, g14770, g14776, g14773	g2934, g2935, g3397, g14771, g14772, g14770, g2936, g14776, g14773, g14768, g14769			
OG0000013	g8153, g5689, g19508, g17983, g13940, g11936, g20024, g11695, g23845, g15422, g26878, g10255	g17983, g8153, g20024, g19508, g26878, g15422, g13940, g11936, g11695, g23845	g19508, g23845, g13940, g15422, g11936, g5689, g17983, g26878, g8153	g27850	mf_6459, mf_5370	g2703	g10840, g11200, g18765, g14235, g24370	g18765, g10840, g11200, g14235	g10840, g11200, g24370, g18765, g14235	g1736, g4565, g18272, g17541, g10678, g11044, g15401, g7970	g15401, g11044, g18272, g17541, g14361, g10678, g1736, g7970, g4565	g14235, g11200, g18765, g10840, g24370	g10840, g14235, g24370	g24370, g18765, g10840, g14235, g11200	g14235, g18765, g10840, g24370, g11200	g11200, g18765, g24370, g14235, g10840	g14361, g4565, g7970, g17541, g15401, g1736, g11044, g18272, g10678	g22356, g1736, g15401, g14361, g4565, g18272, g17541, g10678, g11044, g7970	g10678, g4565, g7970, g15401, g18272, g14361, g11044, g1736
OG0000014	g20396, g3035, g1467, g7291, g25050, g12988, g17459, g22883, g24107, g2612, g8621	g8621, g9534, g1467, g7291, g20396, g2612, g3035, g22883, g17459, g24107, g12988	g12988, g7291, g22883, g1467, g20396, g24107, g8621, g2612, g3035, g17459	g24482, g787, g11891, g16625, g23923, g29142	mf_2076, mf_1622, mf_13682, mf_5801, mf_13358, mf_5736, mf_5040, mf_7173, mf_7639	g877, g13670, g12780, g4261, g4109, g1926, g723, g11825, g7398, g5365, g14, g5590, g6877, g6878, g6876				g8572, g19611, g2906, g5701, g17667, g14254, g16471, g19727, g4342, g4343	g17667, g4343, g19727, g4342, g16471, g19611, g8572, g5701, g14254, g2906						g2906, g17667, g19611, g4342, g5701, g8572, g16471, g19727, g4343, g14254	g4342, g17667, g19611, g14254, g16471, g19727, g8572, g4343, g5701, g21455, g21934, g21935, g2906	g5701, g14254, g17667, g4342, g4343, g19727, g8572, g2906, g19611, g16471
OG0000015	g23617, g25323, g25324, g8254	g25323, g25324, g23617, g8254	g17703, g23617, g25323, g25324, g8254		mf_7859, mf_1951, mf_1165, mf_1945, mf_11739, mf_431, mf_323, mf_7518, mf_9193, mf_11885, mf_2739, mf_1734, mf_10946	g12001, g8134, g5426, g4349, g5427	g7089, g10428, g12642, g12214, g21808, g5642, g16079, g19659	g21808, g10428, g12642, g19659, g5642, g7089, g12214, g16079	g12642, g7089, g16079, g10428, g19659, g21808, g12214, g5642	g8735, g2112, g10545, g2110	g10545, g2112, g2110, g8735	g12214, g5642, g19659, g16079, g12642, g10428	g16079, g21808, g10428, g19659, g5642, g12214, g12642, g7089	g12642, g12214, g5642, g16079, g19659, g7089, g10428	g10428, g7089, g19659, g21808, g12214, g5642, g16079, g12642	g12214, g10428, g19659, g7089, g21808, g12642, g16079, g5642	g10545, g8735, g2112, g2110	g2110, g10545, g8735, g21581, g2112	g10545, g8735, g2110, g2112
OG0000016	g4927, g7397, g7399, g6530, g1847, g7995	g7399, g7397, g7995, g6530, g1847	g6530, g7995, g7397, g4927, g7399	g30697	mf_3018, mf_8093, mf_2309, mf_11291, mf_6589, mf_5244, mf_4702, mf_14941, mf_7868, mf_12010, mf_3545, mf_14225, mf_9891, mf_9896, mf_13273, mf_10288, mf_1939, mf_3052, mf_912, mf_2977, mf_5032, mf_5942, mf_2126, mf_4461, mf_4889, mf_30	g4237, g4679	g1309, g1308, g18618, g7419, g8575	g1309, g1308, g18618, g8575, g7419	g18618, g8575, g1309, g1308, g7419	g945, g9235, g17378, g2811	g2811, g17378, g945, g9235	g18618, g1308, g7419, g1309, g8575	g18618, g8575, g7419, g1308, g1309	g18618, g8575, g7419, g1308, g1309	g1309, g1308, g18618, g8575, g7419	g1308, g18618, g7419, g1309, g8575	g2811, g17378, g9235, g945	g20873, g9235, g15293, g945, g21279, g2811, g17378	g945, g2811, g9235, g17378
OG0000017	g1566	g6161, g29040, g1566	g21047, g1566, g15268	g8752, g20219, g6620, g13373, g1661, g15733, g639, g26576	mf_1104, mf_5674, mf_4802, mf_12339, mf_4605	g8616, g8617	g812, g890, g18537, g4858, g11371, g11677	g812, g4858, g890, g11371, g18537, g11677	g890, g11677, g18537, g4858, g11371, g812	g16022, g15675, g5438, g12106, g16581, g12182, g12804	g16022, g12106, g5438, g12804, g12182, g15675, g16581	g812, g18537, g11371, g4858, g11677, g890	g812, g11677, g11371, g4858, g890, g18537	g812, g11677, g4858, g11371, g18537, g890	g812, g11371, g890, g11677, g18537, g4858	g812, g890, g18537, g4858, g11371, g11677	g16022, g15675, g12182, g12804, g16581, g12106, g5438	g12804, g15675, g16581, g20347, g5438, g12106, g16022, g12182	g16581, g12804, g12106, g16022, g5438, g12182, g15675
OG0000018	g16337, g27078, g11474, g6476, g17176, g20955, g13767	g16337, g10181, g6476, g17176, g11474, g27078, g20955	g17176, g6476, g10181, g16337, g27078, g11474, g20955	g18309, g15740, g27925, g8793, g12963, g565, g26216, g17522, g26215, g19089, g5046, g17521, g10016, g24416	mf_11595	g6413, g10647, g10695, g6037, g5248	g15825, g9380, g8825, g18125	g15825, g9380, g8825, g18125	g18125, g8825, g9380	g19106, g13755, g20151, g336, g17511, g18403	g13755, g336, g19106, g20151, g18403, g17511	g9380, g8825, g15825, g18125	g8825, g9380, g15825, g18125	g9380, g18125, g8825, g15825	g8825, g18125, g9380	g9380, g18125, g15825, g8825	g17511, g13755, g336, g18403, g20151, g19106	g18403, g17511, g20151, g13755, g336, g19106	g17511, g336, g19106, g18403, g13755, g20151
OG0000019	g2696, g14265, g1666, g12554, g1430	g12554, g1666, g14265, g1430, g2696	g2696, g12554, g14265, g1666	g11336, g3013, g14140, g12429, g12426, g27527, g16259, g14941, g12428, g12430, g22062, g5857, g29349, g13604, g24996	mf_7384	g3113, g13419	g18732, g19503, g18733, g10804, g10802, g10801	g10802, g10804, g19503, g18732, g10801, g18733	g18733, g19503, g10802, g10801, g10804	g15034, g17896, g7822, g13786, g13785	g7822, g17896, g13785, g13786, g15034	g10801, g10802, g10804, g19503, g18732, g18733	g10802, g19503, g18732	g19503, g10801, g18733, g10802, g10804, g18732	g19503, g18733, g10804, g10802, g10801	g10802, g10804, g18732, g18733, g19503, g10801	g17896, g13786, g15034, g13785, g7822	g13785, g17896, g13786, g7822, g15034	g7822, g13785, g17896, g15034, g13786
OG0000020	g27356, g12647, g22756, g19536, g19045, g216, g4191, g21945, g214	g21945, g216, g214, g4191, g12647, g19536, g27356, g19045	g214, g216, g19536, g4191, g12647, g19045, g21945, g27356	g1133, g25235, g8230, g9714, g30615, g22304, g28236, g28235, g12725, g12726, g19454, g24417, g25029, g28878, g1136, g25187, g23825		g12859, g3144, g12014, g5025	g12509, g4861, g4860, g4865	g4860, g4861, g4865, g12509	g12509, g4865, g4861, g4860	g16808, g8417, g5331, g10290	g10290, g8417, g5331, g16808	g4865, g4860, g4861, g12509	g4861, g4860, g12509, g4865	g12509, g4860, g4861, g4865	g4860, g12509, g4865, g4861	g12509, g4861, g4860, g4865	g5331, g10290, g8417, g16808	g10290, g8417, g5331, g16808, g21450	g8417, g5331, g16808, g10290
OG0000021	g15097, g22561, g25088, g11803, g26688	g22561, g11803, g26688, g25088, g18340	g25088, g11803, g15097, g22561, g26688	g12628, g3597, g11449, g24180, g25035, g15538, g23320, g14991, g28463, g25682, g19971, g8913, g21382, g21381, g23120, g23319, g17730	mf_12028, mf_12897	g6254	g16842, g12695, g7992, g5186, g11117	g5186, g16842, g11117, g7992, g12695	g5186, g11117, g7992, g12695, g16842	g6260, g12118, g8414, g14574	g14574, g8414, g15893, g6260, g12118	g11117, g7992, g16842, g12695, g5186	g12695, g16842, g7992, g5186, g11117	g11117, g5186, g16842, g7992, g12695	g5186, g11117, g16842, g7992, g12695	g16842, g11117, g5186, g7992, g12695	g6260, g8414, g12118, g14574, g15893	g15893, g6260, g14574, g12118, g8414	g12118, g15893, g8414, g6260, g14574
OG0000022	g14335, g21248, g25800, g25799	g14335, g21248, g25800, g25799	g21248, g25799, g25800, g14335	g16926, g27987, g18905, g29076, g23003		g14209, g9711	g213, g212, g1724, g14968, g15761, g15760	g15760, g15761, g1724, g212, g213, g14968	g15761, g15760, g213, g14968, g1724, g212	g12765, g11105, g11106, g12766, g11107, g12360	g11107, g11105, g11106, g12765, g12766, g12360	g15760, g15761, g14968, g212, g1724, g213	g15761, g14968, g212, g213, g1724, g15760	g15761, g15760, g212, g14968, g1724, g213	g1724, g15760, g15761, g14968, g213, g212	g213, g212, g15761, g1724, g15760, g14968	g12360, g12766, g12765, g11107, g11105, g11106	g11107, g11106, g12360, g11105, g12766, g12765, g20512, g20466	g12360, g12766, g11105, g11107, g11106, g12765
OG0000023	g22770, g7134, g10748, g19000, g7971	g7134, g7971, g22770, g19000, g10748	g7971, g22770, g10748, g19000, g7134	g22130, g11876, g8023	mf_10840, mf_8615, mf_11107, mf_9224, mf_1928	g7907, g4783	g2356, g12920, g19919, g9937, g14144, g2357	g2356, g12920, g2357, g19919, g9937	g2357, g2356, g9937, g12920, g14144, g19919	g14044, g4100, g9082, g3448, g16423	g16423, g4100, g14044, g3448, g9082	g12920, g2357, g19919, g2356, g14144, g9937	g14144, g19919, g2356, g2357, g9937, g12920	g9937, g19919, g14144, g2356, g2357, g12920	g14144, g2356, g19919, g2357, g9937, g12920	g19919, g9937, g14144, g12920, g2356, g2357	g16423, g14044, g4100, g9082, g3448	g3448, g4100, g14044, g9082, g16423	g16423, g4100, g9082, g3448, g14044
